threshold,fpr,tpr
1.453634085213032501e-01,4.000000000000000192e-04,4.033333333333333215e-01
1.478696741854636509e-01,5.999999999999999474e-04,4.133333333333333304e-01
1.503759398496240518e-01,5.999999999999999474e-04,4.233333333333333393e-01
1.528822055137844527e-01,5.999999999999999474e-04,4.299999999999999933e-01
1.553884711779448535e-01,5.999999999999999474e-04,4.433333333333333570e-01
1.578947368421052544e-01,1.199999999999999895e-03,4.699999999999999734e-01
1.604010025062656553e-01,1.600000000000000077e-03,4.733333333333333282e-01
1.629072681704260561e-01,1.799999999999999951e-03,4.866666666666666918e-01
1.654135338345864570e-01,2.000000000000000042e-03,4.933333333333333459e-01
1.679197994987468578e-01,2.000000000000000042e-03,4.933333333333333459e-01
1.704260651629072587e-01,2.599999999999999881e-03,5.033333333333332993e-01
1.729323308270676596e-01,2.799999999999999972e-03,5.133333333333333082e-01
1.754385964912280604e-01,3.599999999999999901e-03,5.266666666666666163e-01
1.779448621553884613e-01,4.000000000000000083e-03,5.466666666666666341e-01
1.804511278195488622e-01,4.599999999999999922e-03,5.566666666666666430e-01
1.829573934837092630e-01,5.599999999999999943e-03,5.733333333333333615e-01
1.854636591478696639e-01,6.599999999999999964e-03,5.799999999999999600e-01
1.879699248120300648e-01,7.199999999999999803e-03,5.999999999999999778e-01
1.904761904761904656e-01,8.399999999999999481e-03,6.033333333333333881e-01
1.929824561403508665e-01,9.799999999999999684e-03,6.066666666666666874e-01
1.954887218045112673e-01,1.119999999999999989e-02,6.300000000000000044e-01
1.979949874686716682e-01,1.200000000000000025e-02,6.300000000000000044e-01
2.005012531328320691e-01,1.340000000000000045e-02,6.400000000000000133e-01
2.030075187969924699e-01,1.540000000000000049e-02,6.466666666666666119e-01
2.055137844611528708e-01,1.799999999999999864e-02,6.500000000000000222e-01
2.080200501253132717e-01,1.859999999999999848e-02,6.500000000000000222e-01
2.105263157894736725e-01,2.060000000000000026e-02,6.533333333333333215e-01
2.130325814536340734e-01,2.259999999999999856e-02,6.633333333333333304e-01
2.155388471177944743e-01,2.460000000000000034e-02,6.666666666666666297e-01
2.180451127819548751e-01,2.779999999999999832e-02,6.733333333333333393e-01
2.205513784461152760e-01,3.200000000000000067e-02,6.766666666666666385e-01
2.230576441102756768e-01,3.420000000000000123e-02,6.899999999999999467e-01
2.255639097744360777e-01,3.860000000000000236e-02,6.933333333333333570e-01
2.280701754385964786e-01,4.159999999999999809e-02,6.999999999999999556e-01
2.305764411027568794e-01,4.519999999999999712e-02,7.133333333333333748e-01
2.330827067669172803e-01,4.859999999999999737e-02,7.199999999999999734e-01
2.355889724310776812e-01,5.240000000000000213e-02,7.266666666666666829e-01
2.380952380952380820e-01,5.500000000000000028e-02,7.333333333333332815e-01
2.406015037593984829e-01,5.979999999999999899e-02,7.366666666666666918e-01
2.431077694235588837e-01,6.460000000000000464e-02,7.399999999999999911e-01
2.456140350877192846e-01,6.859999999999999432e-02,7.433333333333332904e-01
2.481203007518796855e-01,7.380000000000000449e-02,7.533333333333332993e-01
2.506265664160400863e-01,7.839999999999999747e-02,7.600000000000000089e-01
2.531328320802004872e-01,8.219999999999999529e-02,7.633333333333333082e-01
2.556390977443608881e-01,8.759999999999999731e-02,7.666666666666667185e-01
2.581453634085212889e-01,9.220000000000000417e-02,7.700000000000000178e-01
2.606516290726816898e-01,9.779999999999999805e-02,7.700000000000000178e-01
2.631578947368420907e-01,1.039999999999999952e-01,7.733333333333333171e-01
2.656641604010024915e-01,1.117999999999999966e-01,7.766666666666666163e-01
2.681704260651628924e-01,1.185999999999999971e-01,7.800000000000000266e-01
2.706766917293232932e-01,1.277999999999999969e-01,7.866666666666666252e-01
2.731829573934836941e-01,1.333999999999999908e-01,7.933333333333333348e-01
2.756892230576440950e-01,1.428000000000000103e-01,7.966666666666666341e-01
2.781954887218044958e-01,1.497999999999999887e-01,8.000000000000000444e-01
2.807017543859648967e-01,1.570000000000000007e-01,8.000000000000000444e-01
2.832080200501252976e-01,1.675999999999999990e-01,8.033333333333333437e-01
2.857142857142856984e-01,1.738000000000000100e-01,8.033333333333333437e-01
2.882205513784460993e-01,1.816000000000000114e-01,8.033333333333333437e-01
2.907268170426065002e-01,1.890000000000000013e-01,8.033333333333333437e-01
2.932330827067669010e-01,1.973999999999999921e-01,8.100000000000000533e-01
2.957393483709273019e-01,2.064000000000000001e-01,8.133333333333333526e-01
2.982456140350877027e-01,2.174000000000000099e-01,8.199999999999999512e-01
3.007518796992481036e-01,2.265999999999999959e-01,8.199999999999999512e-01
3.032581453634085045e-01,2.349999999999999867e-01,8.233333333333333615e-01
3.057644110275689053e-01,2.454000000000000070e-01,8.266666666666666607e-01
3.082706766917293062e-01,2.555999999999999939e-01,8.266666666666666607e-01
3.107769423558897071e-01,2.674000000000000266e-01,8.333333333333333703e-01
3.132832080200501079e-01,2.770000000000000240e-01,8.333333333333333703e-01
3.157894736842105088e-01,2.889999999999999791e-01,8.399999999999999689e-01
3.182957393483709096e-01,2.975999999999999757e-01,8.433333333333333792e-01
3.208020050125313105e-01,3.068000000000000171e-01,8.466666666666666785e-01
3.233082706766917114e-01,3.187999999999999723e-01,8.466666666666666785e-01
3.258145363408521122e-01,3.274000000000000243e-01,8.499999999999999778e-01
3.283208020050125131e-01,3.366000000000000103e-01,8.533333333333333881e-01
3.308270676691729140e-01,3.452000000000000068e-01,8.599999999999999867e-01
3.333333333333333148e-01,3.565999999999999726e-01,8.633333333333332860e-01
3.358395989974937157e-01,3.638000000000000123e-01,8.633333333333332860e-01
3.383458646616541166e-01,3.735999999999999877e-01,8.666666666666666963e-01
3.408521303258145174e-01,3.841999999999999860e-01,8.666666666666666963e-01
3.433583959899749183e-01,3.946000000000000063e-01,8.666666666666666963e-01
3.458646616541353191e-01,4.043999999999999817e-01,8.699999999999999956e-01
3.483709273182957200e-01,4.153999999999999915e-01,8.699999999999999956e-01
3.508771929824561209e-01,4.274000000000000021e-01,8.699999999999999956e-01
3.533834586466165217e-01,4.374000000000000110e-01,8.766666666666667052e-01
3.558897243107769226e-01,4.447999999999999732e-01,8.800000000000000044e-01
3.583959899749373235e-01,4.583999999999999742e-01,8.833333333333333037e-01
3.609022556390977243e-01,4.666000000000000147e-01,8.866666666666667140e-01
3.634085213032581252e-01,4.786000000000000254e-01,8.866666666666667140e-01
3.659147869674185261e-01,4.878000000000000114e-01,8.866666666666667140e-01
3.684210526315789269e-01,4.975999999999999868e-01,8.933333333333333126e-01
3.709273182957393278e-01,5.073999999999999622e-01,8.933333333333333126e-01
3.734335839598997286e-01,5.153999999999999693e-01,8.933333333333333126e-01
3.759398496240601295e-01,5.241999999999999993e-01,8.966666666666666119e-01
